2025-10-24 11:21:36.464 [Debug] [Hook] TM:PE priority sign query | nodeId=4570 segmentId=32707 signType=None
2025-10-24 11:21:36.464 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.465 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.465 [Debug] [Hook] TM:PE priority sign query | nodeId=4570 segmentId=35142 signType=None
2025-10-24 11:21:36.466 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.467 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.469 [Debug] [Hook] TM:PE priority sign query | nodeId=11051 segmentId=35142 signType=None
2025-10-24 11:21:36.469 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.470 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.470 [Debug] [Hook] TM:PE priority sign query | nodeId=11051 segmentId=17081 signType=None
2025-10-24 11:21:36.471 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.472 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.472 [Debug] [Hook] TM:PE priority sign query | nodeId=2255 segmentId=35152 signType=None
2025-10-24 11:21:36.473 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.473 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.474 [Debug] [Hook] TM:PE priority sign query | nodeId=2255 segmentId=35827 signType=None
2025-10-24 11:21:36.474 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.474 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.475 [Debug] [Hook] TM:PE priority sign query | nodeId=1821 segmentId=6417 signType=None
2025-10-24 11:21:36.475 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.476 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.476 [Debug] [Hook] TM:PE priority sign query | nodeId=1821 segmentId=35152 signType=None
2025-10-24 11:21:36.476 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.477 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.477 [Debug] [Hook] TM:PE priority sign query | nodeId=11057 segmentId=13836 signType=None
2025-10-24 11:21:36.478 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.478 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.479 [Debug] [Hook] TM:PE priority sign query | nodeId=11057 segmentId=35238 signType=None
2025-10-24 11:21:36.479 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.480 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.481 [Debug] [Hook] TM:PE priority sign query | nodeId=6018 segmentId=35238 signType=None
2025-10-24 11:21:36.481 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.483 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.484 [Debug] [Hook] TM:PE priority sign query | nodeId=6018 segmentId=26026 signType=None
2025-10-24 11:21:36.484 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.486 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.486 [Debug] [Hook] TM:PE priority sign query | nodeId=28262 segmentId=23718 signType=None
2025-10-24 11:21:36.487 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.487 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.487 [Debug] [Hook] TM:PE priority sign query | nodeId=28262 segmentId=35256 signType=None
2025-10-24 11:21:36.487 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.489 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.489 [Debug] [Hook] TM:PE priority sign query | nodeId=732 segmentId=35256 signType=None
2025-10-24 11:21:36.490 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.491 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.491 [Debug] [Hook] TM:PE priority sign query | nodeId=732 segmentId=12862 signType=None
2025-10-24 11:21:36.492 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.492 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.492 [Debug] [Hook] TM:PE priority sign query | nodeId=20019 segmentId=5728 signType=None
2025-10-24 11:21:36.493 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.493 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.494 [Debug] [Hook] TM:PE priority sign query | nodeId=20019 segmentId=35258 signType=None
2025-10-24 11:21:36.494 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.495 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.495 [Debug] [Hook] TM:PE priority sign query | nodeId=19684 segmentId=35258 signType=None
2025-10-24 11:21:36.495 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.496 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.496 [Debug] [Hook] TM:PE priority sign query | nodeId=19684 segmentId=16332 signType=None
2025-10-24 11:21:36.496 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.497 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.497 [Debug] [Hook] TM:PE priority sign query | nodeId=21577 segmentId=35259 signType=None
2025-10-24 11:21:36.498 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.498 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.499 [Debug] [Hook] TM:PE priority sign query | nodeId=21577 segmentId=5668 signType=None
2025-10-24 11:21:36.499 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.500 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.500 [Debug] [Hook] TM:PE priority sign query | nodeId=14470 segmentId=32952 signType=None
2025-10-24 11:21:36.501 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.502 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.502 [Debug] [Hook] TM:PE priority sign query | nodeId=14470 segmentId=35259 signType=None
2025-10-24 11:21:36.503 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.505 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.505 [Debug] [Hook] TM:PE priority sign query | nodeId=16403 segmentId=35312 signType=None
2025-10-24 11:21:36.505 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.506 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.507 [Debug] [Hook] TM:PE priority sign query | nodeId=16403 segmentId=22587 signType=None
2025-10-24 11:21:36.508 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.508 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.509 [Debug] [Hook] TM:PE priority sign query | nodeId=12619 segmentId=20674 signType=None
2025-10-24 11:21:36.509 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.510 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.510 [Debug] [Hook] TM:PE priority sign query | nodeId=12619 segmentId=35312 signType=None
2025-10-24 11:21:36.510 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.511 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.511 [Debug] [Hook] TM:PE priority sign query | nodeId=1697 segmentId=10061 signType=None
2025-10-24 11:21:36.512 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.512 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.513 [Debug] [Hook] TM:PE priority sign query | nodeId=1697 segmentId=35363 signType=None
2025-10-24 11:21:36.513 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.513 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.514 [Debug] [Hook] TM:PE priority sign query | nodeId=2150 segmentId=35363 signType=None
2025-10-24 11:21:36.514 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.515 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.516 [Debug] [Hook] TM:PE priority sign query | nodeId=2150 segmentId=12542 signType=None
