2025-10-24 11:52:22.930 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.930 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.931 [Debug] [Hook] TM:PE priority sign query | nodeId=24665 segmentId=15958 signType=None
2025-10-24 11:52:22.932 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.934 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.935 [Debug] [Hook] TM:PE priority sign query | nodeId=10249 segmentId=15958 signType=None
2025-10-24 11:52:22.936 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.937 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.939 [Debug] [Hook] TM:PE priority sign query | nodeId=10249 segmentId=7033 signType=None
2025-10-24 11:52:22.939 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.940 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.940 [Debug] [Hook] TM:PE priority sign query | nodeId=22219 segmentId=9764 signType=None
2025-10-24 11:52:22.941 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.942 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.943 [Debug] [Hook] TM:PE priority sign query | nodeId=22219 segmentId=15960 signType=None
2025-10-24 11:52:22.944 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.945 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.946 [Debug] [Hook] TM:PE priority sign query | nodeId=6423 segmentId=15960 signType=None
2025-10-24 11:52:22.948 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.949 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.951 [Debug] [Hook] TM:PE priority sign query | nodeId=6423 segmentId=22054 signType=None
2025-10-24 11:52:22.952 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.954 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.955 [Debug] [Hook] TM:PE priority sign query | nodeId=28317 segmentId=36257 signType=None
2025-10-24 11:52:22.956 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.956 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.957 [Debug] [Hook] TM:PE priority sign query | nodeId=28317 segmentId=16040 signType=None
2025-10-24 11:52:22.958 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.958 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.959 [Debug] [Hook] TM:PE priority sign query | nodeId=2908 segmentId=16040 signType=None
2025-10-24 11:52:22.960 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.962 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.963 [Debug] [Hook] TM:PE priority sign query | nodeId=2908 segmentId=24536 signType=None
2025-10-24 11:52:22.964 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.965 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.967 [Debug] [Hook] TM:PE priority sign query | nodeId=13794 segmentId=15705 signType=None
2025-10-24 11:52:22.968 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.969 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.970 [Debug] [Hook] TM:PE priority sign query | nodeId=13794 segmentId=16084 signType=None
